abejaip	_ _
padrumst	_ p a d r U m s t _
padrykt	_ p a d' r' Ii k t _
padulkt	_ p a d U l k t _
padurmais	_ p a d U r m a j s _
padurmu	_ p a d U r m u _
padëkdie	_ p a d' Ee g' d' ie _
padûkusiai	_ p a d uU k u s' e j _
paeiliui	_ p a e j l' U J _
pag	_ p a k _
pagal	_ p a g a l _
pagaliau	_ p a g a l' E W _
pagarsiui	_ p a g a r' s' U J _
pagaudais	_ p a g a w d A J s _
pagaudom	_ p a g a w d oo m _
pagaudomis	_ p a g a w d oo m' I s _
pagauriui	_ p a g a w r' U J _
pageida	_ p a g' e j d A _
pageluo	_ p a g' e l uO _
pagin	_ p a g' i n _
pagirio	_ p aA g' i r' oo _
pagraibais	_ p a g r a j b A J s _
pagraibom	_ p a g r a j b oo m _
pagraibomis	_ p a g r a j b oo m' I s _
pagret	_ p a g' r' E t _
pagreta	_ p a g' r' e t A _
pagreèiui	_ p a g' r' e tS' U J _
pagrybðt	_ p a g' r' Ii p S t _
pagurom	_ p a g u r oo m _
paguromis	_ p a g u r oo m' I s _
pagymais	_ p a g' ii m A J s _
pagûþom	_ p a g uu Z oo m _
pagûþomis	_ p a g uu Z oo m' I s _
paieðkais	_ p a j' ie S k A J s _
paik	_ p A J k _
paikin	_ p a j k' i n _
paikio	_ p Aa j k' oo _
paiktelë	_ p a j k' t' e l' ee _
paikyn	_ p a j k' iI n _
paikë	_ p A J k' ee _
painio	_ p a j n' oo _
painë	_ p Aa j n' ee _
pais	_ p a j s _
paist	_ p a j s t _
paitvë	_ p a j t' v' ee _
paiv	_ p a j v _
paið	_ p a I S _
paiðin	_ p a j S' i n _
paiðinë	_ p a j S' I n' ee _
pajam	_ p aA j' e m _
pak	_ p a k _
pakaitais	_ p a k a j t A J s _
pakaitom	_ p a k a j t oo m _
pakaitomis	_ p a k a j t oo m' I s _
pakalniui	_ p a k A L' n' u j _
pakampia	_ p a k a m' p' e _
pakap	_ p a k a p _
pakarèiui	_ p a k a r' tS' U J _
pakeliui	_ p a k' e l' u j _
paket	_ p a k' e t _
pakidnah	_ p a k' i d n a h _
pakiemiais	_ p a k' ie m' E J s _
pakip	_ p a k' i p _
pakirav	_ p a k' i r a v _
paklausais	_ p a k l a w s A J s _
paklausom	_ p a k l a w s oo m _
paklausomis	_ p a k l a w s oo m' I s _
paklibikðt	_ p a k' l' i b' I k S t _
paklip	_ p a k' l' i p _
paknes	_ p a k' n' e s _
pakniopstom	_ p a k' n' Oo p s t oo m _
pakniopstomis	_ p a k' n' Oo p s t oo m' i s _
pakniþlim	_ p a k' n' i Z' l' i m _
paknopstom	_ p a k n Oo p s t oo m _
paknopstomis	_ p a k n Oo p s t oo m' i s _
pakojui	_ p a k oO j' u j _
pakol	_ p a k oo l _
pakolei	_ p a k oO l' e j _
pakraðèia	_ p a k r a S' tS' e _
pakrypë	_ p a k' r' ii p' ee _
paks	_ p a k s _
paksup	_ p a k s u p _
paktna	_ p a k t n a _
pakulniui	_ p a k U L' n' u j _
pakulo	_ p a k u l oo _
pakuðtom	_ p a k u S t oo M _
pakuðtomis	_ p a k u S t oo m' I s _
pakuþdom	_ p a k u Z d oo M _
pakuþdomis	_ p a k u Z d oo m' I s _
pakyðt	_ p a k' Ii S t _
pakð	_ p a k S _
pakðno	_ p a k S n oo _
pakðt	_ p A k S t _
pakðtelë	_ p a k' S' t' e l' ee _
pal	_ p a l _
pala	_ p a l A _
palagla	_ p a l a g l a _
palaid	_ p a l a j t _
palaiguad	_ p a l a j g u a t _
palaikiui	_ p a l a j k' u j _
palaiklums	_ p a l a j k l u m s _
palaiknat	_ p a l a j k n a t _
palaiknep	_ p a l a j k' n' e p _
palailaþ	_ p a l a j l a S _
palailek	_ p a l a j l' e k _
palainiþ	_ p a l a j n' i S _
palaipsniui	_ p a l a j p' s' n' U J _
palaisou	_ p a l a j s oo w _
palaièalp	_ p a l a j tS a l p _
palaièliks	_ p a l a j tS' l' i k s _
palaièom	_ p a l a j tS oo m _
palaklið	_ p a l a k' l' i S _
palakrom	_ p a l a k r oo m _
palakruga	_ p a l a k r u g a _
palalsyg	_ p a l a l' s' ii k _
palanolp	_ p a l a n oo l p _
palansknulp	_ p a l a n s k n u l p _
palarbadis	_ p a l a r b a d' i s _
palarots	_ p a l a r oo t s _
palaruais	_ p a l a r u a j s _
palateik	_ p a l a t' e j k _
palatmið	_ p a l a t' m' i S _
palaðia	_ p a l a S' e _
paldeiþ	_ p a l' d' e j S _
paldog	_ p a l d oo k _
paleb	_ p a l' e p _
paledþia	_ p a l' e dZ' e _
palei	_ p a l' e j _
paleirp	_ p a l' e j r p _
paleistuva	_ p a l' e j s t u v a _
palengva	_ p a l' e n g v A _
palengvële	_ p a l' e n' g' v' ee l' E _
palirt	_ p a l' i r t _
paliuokom	_ p a l' uo k oo M _
paliuokomis	_ p a l' uo k oo m' I s _
palkiniav	_ p a l' k' i n' e v _
palkorub	_ p a l k oo r u p _
palkrom	_ p a l k r oo m _
palkta	_ p a l k t a _
palkuart	_ p a l k u a r t _
palneiv	_ p a l' n' e j v _
palnil	_ p a l' n' i l _
palnoduar	_ p a l n oo d u a r _
palnoutða	_ p a l n oo w t S a _
palp	_ p a l p _
palripip	_ p a l' r' i p' i p _
palrutek	_ p a l r u t' e k _
pals	_ p a l s _
palsiav	_ p a l' s' e v _
palsup	_ p a l s u p _
palta	_ p a l t a _
paltsûpok	_ p a l t s uu p oo k _
paltyprak	_ p a l' t' ii p r a k _
palukse	_ p a l u k' s' e _
palëdþgiavþ	_ p a l' ee dZ' g' e v S _
palëmeþ	_ p a l' ee m' e S _
palëruat	_ p a l' ee r u a t _
palð	_ p A L S _
palðeirp	_ p a l' S' e j r p _
palðin	_ p a l' S' i n _
palðuairk	_ p a l S u a j r k _
palðypa	_ p a l' S' ii p a _
palðë	_ p Aa l' S' ee _
palûkana	_ p a l Uu k a n a _
pamainom	_ p a m a j n oo m _
pamainomis	_ p a m a j n oo m' I s _
pamaþi	_ p a m a Z' I _
pamaþiukais	_ p a m a Z' U k a j s _
pamaþu	_ p a m a Z U _
pamaþël	_ p a m a Z' eE l _
pamaþële	_ p a m a Z' ee l' e _
pamaþëliais	_ p a m a Z' ee l' e j s _
pamaþëliu	_ p a m a Z' ee l' u _
pamergia	_ p a m' e r' g' e _
pameèiais	_ p a m' e tS' E J s _
pameèiui	_ p a m' e tS' U J _
pamoksla	_ p a m oo k s l a _
pamp	_ p a m p _
pampin	_ p a m' p' i n _
pamplin	_ p a m' p' l' i n _
pamplinë	_ p a m' p' l' i n' ee _
pamps	_ p A M p s _
pamënesiui	_ p a m' ee n' e s' U J _
pamëto	_ p a m' Ee t oo _
pana	_ p a n A _
panak	_ p a n a k _
panaktinia	_ p a n a k' t' i n' e _
panakèiui	_ p a n a k' tS' U J _
panamiui	_ p a n a m' U J _
panarom	_ p a n a r oo M _
panaromis	_ p a n a r oo m' I s _
panaðin	_ p a n a S' i n _
panaðë	_ p a n a S' ee _
panchromatiz	_ p a n x r oo m a t' i s _
panerom	_ p a n' e r oo M _
paneromis	_ p a n' e r oo m' I s _
panik	_ p a n' I k _
paniûrom	_ p a n' uu r oo m _
paniûromis	_ p a n' uu r oo m' I s _
pank	_ p a n k _
pans	_ p a n s _
pansagli	_ p a n s a g' l' i _
pansaiglad	_ p a n s a j g l a t _
pansailiams	_ p a n s a j l' e m s _
pansaièna	_ p a n s a j tS n a _
pansaiènad	_ p a n s a j tS n a t _
pansaièðkolp	_ p a n s a j tS S k oo l p _
pansaiþyrk	_ p a n s a j Z' ii r k _
pansap	_ p a n s a p _
pansapmuk	_ p a n s a p m u k _
pansarots	_ p a n s a r oo t s _
pansatseir	_ p a n s a t' s' e j r _
pansnotleg	_ p a n s n oo t' l' e k _
pansop	_ p a n s oo p _
pansrots	_ p a n s r oo t s _
panstna	_ p a n s t n a _
panèio	_ p Aa n' tS' oo _
pap	_ p a p _
paplasta	_ p a p l a s t a _
paplastais	_ p a p l a s t A J s _
paplastom	_ p a p l a s t Oo m _
paplastomis	_ p a p l a s t oo m' i s _
paplaukiui	_ p a p l a w k' U J _
paplavom	_ p a p l a v oo M _
paplavomis	_ p a p l a v oo m' I s _
papno	_ p a p n oo _
paporiui	_ p a p oo r' U J _
paprastai	_ p a p r a s t Aa j _
paprastin	_ p a p r a s' t' i n _
paprastë	_ p a p r a s' t' ee _
paps	_ p a p s _
papt	_ p A p t _
paptelë	_ p a p' t' e l' ee _
papua	_ p a p u a _
papunkèiui	_ p a p u n' k' tS' u j _
papèio	_ p a p' tS' oo _
papûkð	_ p a p uU k S _
par	_ p a r _
parad	_ p a r a t _
paraf	_ p a r a f _
parafraz	_ p a r a f r a s _
paraidþiui	_ p a r a j dZ' U J _
paralyþi	_ p a r a l' ii Z' i _
parankiui	_ p a r a n' k' U J _
parazit	_ p a r a z' i t _
parceli	_ p a r' ts' e l' i _
pard	_ p a r t _
pardalio	_ p a r d a l' oo _
pardavinë	_ p a r d a v' i n' ee _
pareigo	_ p a r' e j g oo _
park	_ p a r k _
parkeriz	_ p a r' k' e r' i s _
parodij	_ p a r oo d' i j' _
parp	_ p a r p _
parpali	_ p a r p a l' i _
parps	_ p A R p s _
parsi	_ p a r' s' i _
part	_ p a r t _
partas	_ p a r t a s _
partizana	_ p a r' t' i z a n a _
parveniu	_ p a r' v' e n' U _
parð	_ p a r S _
parði	_ p a r' S' i _
pas	_ p a s _
pasak	_ p a s a k _
pasakiniui	_ p a s a k' i n' u j _
pasako	_ p a s aA k oo _
pasalom	_ p a s a l oo m _
pasalomis	_ p a s a l oo m' I s _
pasaulietin	_ p a s a w l' ie t' i n _
pasaulietiðkë	_ p a s a w l' ie t' i S' k' ee _
pasauliui	_ p a s a w l' u j _
pasaulë	_ p a s a w l' ee _
pasavaièiui	_ p a s a v a j tS' U J _
pasekom	_ p a s' e k oo m _
pasekomis	_ p a s' e k oo m' I s _
pasi	_ p a s' i _
pasiautom	_ p a s' e w t Oo m _
pasiautomis	_ p a s' e w t oo m' i s _
pasiutyn	_ p a s' u t' iI n _
pasiuèiau	_ p a s' u tS' E W _
pasiûvë	_ p a s' uu v' ee _
paskiau	_ p a s' k' E W _
paskiemeniui	_ p a s' k' ie m' e n' U J _
paskirsniui	_ p a s' k' i r' s' n' U J _
paskliundom	_ p a s' k' l' U n d oo m _
paskliundomis	_ p a s' k' l' U n d oo m' i s _
paskridom	_ p a s' k' r' i d oo m _
paskridomis	_ p a s' k' r' i d oo m' I s _
paskubom	_ p a s k u b oo m _
paskubomis	_ p a s k u b oo m' I s _
paskui	_ p a s k u j _
paskum	_ p a s k u m _
paskutinai	_ p a s k u t' i n A J _
paskyriui	_ p a s' k' ii r' U J _
paskëliau	_ p a s' k' ee l' e w _
paslapèia	_ p a s l a p' tS' E _
paslapèiom	_ p a s l a p' tS' oo M _
paslapèiomis	_ p a s l a p' tS' oo m' I s _
pasninka	_ p a s' n' i n k a _
paspartu	_ p a s p a r t U _
pasportiz	_ p a s p oo r' t' i s _
pasriûbom	_ p a s' r' uu b oo M _
pasriûbomis	_ p a s' r' uu b oo m' I s _
pasroviui	_ p a s r oo v' U J _
pasteriz	_ p a s' t' e r' i s _
pastoria	_ p a s t oo r' e _
pastov	_ p a s t oo v _
pastraipsniui	_ p a s t r a j p' s' n' U J _
pastrikt	_ p a s' t' r' I k t _
pastriuokom	_ p a s' t' r' Uo k oo m _
pastriuokomis	_ p a s' t' r' Uo k oo m' i s _
pastrykt	_ p a s' t' r' Ii k t _
pastûgom	_ p a s t Uu g oo m _
pastûgomis	_ p a s t Uu g oo m' i s _
pasverdom	_ p a s' v' e r d oo M _
pasverdomis	_ p a s' v' e r d oo m' I s _
pasyvin	_ p a s' ii v' i n _
pat	_ p A t _
pataika	_ p a t a j k A _
patakom	_ p a t a k oo M _
patakomis	_ p a t a k oo m' I s _
pataku	_ p aA t a k u _
patamsiais	_ p a t Aa m' s' e j s _
patarandom	_ p a t a r Aa n d oo m _
patarandomis	_ p a t a r Aa n d oo m' i s _
pate	_ p a t' E _
pateaiguad	_ p a t' e a j g u a t _
pateka	_ p a t' e k a _
patekliui	_ p a t' e k' l' U J _
patent	_ p a t' e n t _
patiems	_ p a t' Ie m s _
paties	_ p a t' iE s _
patin	_ p a t' i n _
patnas	_ p a t n a s _
patni	_ p a t' n' i _
patrobiais	_ p a t r oo b' E J s _
patron	_ p a t r oo n _
patruli	_ p a t r u l' i _
pats	_ p A t s _
patsai	_ p a t s A J _
patsap	_ p a t s a p _
patsav	_ p a t s a v _
patseg	_ p a t' s' e k _
patso	_ p a t s oo _
patsta	_ p a t s t a _
patykom	_ p a t' iI k oo m _
patykomis	_ p a t' Ii k oo m' i s _
patykëliais	_ p a t' ii k' ee l' e j s _
patyliais	_ p a t' ii l' E J s _
patyliukais	_ p a t' ii l' U k a j s _
patylom	_ p a t' ii l oo M _
patylomis	_ p a t' ii l oo m' I s _
patylëliais	_ p a t' ii l' eE l' e j s _
patys	_ p aA t' ii s _
pau	_ p a w _
paukð	_ p A W k S _
paukðno	_ p a w k S n oo _
paukðt	_ p Aa w k S t _
paukðtelë	_ p a w k' S' t' eA l' ee _
paukðtinë	_ p A W k' S' t' i n' ee _
paukðèia	_ p a w k' S' tS' e _
paunksnia	_ p a w n' k' s' n' e _
pauðk	_ p a w S k _
pauðkin	_ p a w S' k' i n _
pav	_ p a v _
pavakariop	_ p a v a k a r' Oo p _
pavakariukais	_ p a v a k a r' U k a j s _
pavalandþiui	_ p a v a l a n' dZ' U J _
pavandeniais	_ p a v a n' d' e n' E J s _
pavandeniui	_ p a v a n' d' e n' u j _
pavardþiui	_ p a v a r' dZ' U J _
pavargëlia	_ p a v a r' g' ee l' e _
pavasariop	_ p a v a s a r' Oo p _
pavasarë	_ p a v a s a r' ee _
paveiksl	_ p a v' e j k s l _
pavermu	_ p a v' Ea r m u _
pavidalin	_ p a v' i d a l' i n _
pavidalë	_ p a v' i d a l' ee _
pavieneèiui	_ p a v' ie n' e tS' U J _
pavieniui	_ p a v' ie n' u j _
pavilniui	_ p a v' i l' n' U J _
pavirð	_ p a v' I R S _
pavirðiau	_ p a v' i r' S' e w _
pavirðium	_ p a v' I R' S' u m _
pavirðutinai	_ p a v' i r S u t' i n A J _
pavk	_ p a v k _
pavkaiþdrag	_ p a v k a j Z d r a k _
pavkeb	_ p a v' k' e p _
pavkeirp	_ p a v' k' e j r p _
pavkta	_ p a v k t a _
pavyd	_ p a v' ii t _
pavydulia	_ p a v' ii d u l' e _
pavymui	_ p a v' Ii m u j _
pavyzdþiui	_ p aA v' ii Z' dZ' u j _
pavëjui	_ p a v' eE j' u j _
pavënia	_ p a v' ee n' e _
pavësia	_ p a v' ee s' e _
pavësin	_ p a v' ee s' i n _
pavði	_ p a v' S' i _
pazouj	_ p a z oo w j' _
paèi	_ p a tS' i _
paèiais	_ p a tS' E J s _
paèiam	_ p a tS' Ea m _
paèiame	_ p a tS' e m' E _
paèiu	_ p a tS' U _
paèiuose	_ p a tS' uo s' E _
paèiupt	_ p a tS' U p t _
paèius	_ p a tS' U s _
paèiûþt	_ p a tS' Uu S t _
pað	_ p a S _
paðara	_ p a S a r a _
paðin	_ p a S' i n _
paðio	_ p a S' oo _
paðliukðt	_ p a S' l' U k S t _
paðliûkðt	_ p a S' l' Uu k S t _
paðlumðt	_ p a S l U m S t _
paðmakðt	_ p a S m A k S t _
paðmikðt	_ p a S' m' I k S t _
paðmudurkðt	_ p a S m u d U r k S t _
paðmukðt	_ p a S m U k S t _
paðmurkðt	_ p a S m U r k S t _
paðnabþdom	_ p a S n a b Z d oo M _
paðnabþdomis	_ p a S n a b Z d oo m' I s _
paðnibþdom	_ p a S' n' i b Z d oo M _
paðnibþdomis	_ p a S' n' i b Z d oo m' I s _
paðokom	_ p a S oo k oo m _
paðokomis	_ p a S oo k oo m' I s _
paðuokom	_ p a S Uo k oo m _
paðuokomis	_ p a S Uo k oo m' i s _
paðvilpt	_ p a S' v' I l p t _
paþ	_ p a S _
paþangë	_ p a Z a n' g' ee _
paþindin	_ p a Z' i n' d' i n _
paþodþiui	_ p a Z oo dZ' U J _
paþygiui	_ p a Z' ii g' u j _
ped	_ p' e t _
peik	_ p' E J k _
peiks	_ p' E J k s _
peiksarp	_ p' e j k s a r p _
peiksop	_ p' e j k s oo p _
peikë	_ p' E J k' ee _
peil	_ p' e j l _
peilap	_ p' e j l a p _
peilta	_ p' e j l t a _
peilþdem	_ p' e j l' Z' d' e m _
peipði	_ p' e j p' S' i _
peizo	_ p' e j z oo _
peknoud	_ p' e k n oo w t _
pekpa	_ p' e k p a _
peksup	_ p' e k s u p _
pekðiagar	_ p' e k' S' e g a r _
pel	_ p' e l _
pelas	_ p' eA l a s _
pelen	_ p' e l' e n _
peleng	_ p' e l' e n k _
pelenë	_ p' e l' eA n' ee _
pelia	_ p' e l' e _
pelinë	_ p' e l' I n' ee _
pelkë	_ p' Ea l' k' ee _
peln	_ p' e l n _
pelna	_ p' e l n a _
pelnika	_ p' e l' n' i k a _
pelp	_ p' e l p _
peltaki	_ p' e l t a k' i _
pelë	_ p' e l' eE _
pelð	_ p' e l S _
pen	_ p' e n _
pena	_ p' eA n a _
pendë	_ p' e n' d' ee _
penkeriaip	_ p' e n' k' e r' E J p _
penki	_ p' e n' k' I _
penkiaip	_ p' e n' k' E J p _
penkiais	_ p' e n' k' E J s _
penkias	_ p' e n' k' E s _
penkiasdeðimt	_ p' E N' k' e z' d' e S' i m t _
penkiems	_ p' e n' k' Ie m s _
penkiese	_ p' e n' k' Ie s' e _
penkiomis	_ p' e n' k' oo m' I s _
penkioms	_ p' e n' k' Oo m s _
penkios	_ p' E N' k' oo s _
penkiose	_ p' e n' k' oo s' E _
penkis	_ p' e n' k' I s _
penkiskart	_ p' e n' k' I s k a r t _
penkissyk	_ p' e n' k' I s' s' ii k _
penkiuose	_ p' e n' k' uo s' E _
pensnë	_ p' e n' s' n' eE _
per	_ p' e r _
perdaug	_ p' e r d A W k _
perdien	_ p' e r' d' ie N _
perdëm	_ p' e r' d' eE m _
perin	_ p' e r' i n _
periodiz	_ p' e r' oo d' i s _
perk	_ p' Ea r k _
perkûn	_ p' e r k uu n _
perliustr	_ p' e r' l' u s t r _
pernai	_ p' Ea r n a j _
pernakt	_ p' e r n aA k t _
pernelyg	_ p' e r' n' e l' Ii k _
perniek	_ p' e r' n' ie k _
pernu	_ p' E r n u _
pero	_ p' e r oo _
perpus	_ p' e r p u s _
persi	_ p' Ea r' s' i _
personifik	_ p' e r s oo n' i f' i k _
perturb	_ p' e r t u r p _
peru	_ p' e r U _
pervasar	_ p' e r v aA s a r _
pervirð	_ p' e r' v' i r S _
perð	_ p' e r S _
perðt	_ p' e r S t _
perþiem	_ p' e r' Z' ie M _
pesno	_ p' e s n oo _
pet	_ p' e t _
petpa	_ p' e t p a _
petrev	_ p' e t' r' e v _
pets	_ p' e t s _
petsakðim	_ p' e t s a k' S' i m _
petskivk	_ p' e t' s' k' i v k _
pezuiþd	_ p' e z u j S t _
peè	_ p' e tS _
peèi	_ p' e tS' i _
peð	_ p' E S _
peðinë	_ p' e S' i n' ee _
peðio	_ p' e S' oo _
peðt	_ p' E S t _
peðtelë	_ p' e S' t' e l' ee _
pfu	_ p f U _
piak	_ p' e k _
pial	_ p' e l _
pialap	_ p' e l a p _
piarkap	_ p' e r k a p _
piarkði	_ p' e r' k' S' i _
piartsap	_ p' e r t s a p _
piatelet	_ p' e t' e l' e t _
piað	_ p' e S _
piaðap	_ p' e S a p _
picnirp	_ p' i ts' n' i r p _
picnirpeb	_ p' i ts' n' i r' p' e p _
pide	_ p' i d' e _
piel	_ p' ie l _
piemen	_ p' ie m' e n _
piemena	_ p' ie m' e n a _
piemuo	_ p' ie m uO _
pien	_ p' ie n _
pienininka	_ p' ie n' i n' i n k a _
piep	_ p' ie p _
pieps	_ p' iE p s _
piept	_ p' Ie p t _
pieptelë	_ p' ie p' t' e l' ee _
pier	_ p' ie r _
piestu	_ p' ie s t U _
pieta	_ p' ie t A _
pieèiau	_ p' ie tS' E W _
pieð	_ p' iE S _
pigin	_ p' i g' i n _
pigtelë	_ p' i k' t' e l' ee _
pigë	_ p' i g' ee _
pih	_ p' i h _
pihcra	_ p' i h ts r a _
pihotorp	_ p' i h oo t oo r p _
pijo	_ p' I j' oo _
pik	_ p' I k _
pike	_ p' i k' E _
piket	_ p' i k' e t _
piki	_ p' I k' i _
pikir	_ p' i k' i r _
pikli	_ p' i k' l' i _
pikolo	_ p' I k oo l oo _
piks	_ p' i k s _
piktadaria	_ p' i k t a d a r' e _
piktaþodþia	_ p' i k t a Z oo dZ' e _
piktdþiugia	_ p' i g' d' dZ' u g' e _
piktin	_ p' i k' t' i n _
piktnaudþia	_ p' i k t n a w dZ' e _
piktumu	_ p' i k t u m u _
piktuoju	_ p' i k t Uo j' u _
piktë	_ p' i k' t' ee _
piktþodþia	_ p' i g d Z oo dZ' e _
pikð	_ p' i k S _
pikðt	_ p' I k S t _
pikðtelë	_ p' i k' S' t' e l' ee _
pil	_ p' i l _
pild	_ p' i l t _
pildinë	_ p' i l' d' i n' ee _
pileirp	_ p' i l' e j r p _
pilk	_ p' I l k _
pilkin	_ p' i l' k' i n _
pilkë	_ p' I l' k' ee _
pilnutinai	_ p' i l n u t' i n A J _
pilnë	_ p' i l' n' ee _
pilop	_ p' i l oo p _
pilot	_ p' i l oo t _
pilrep	_ p' i l' r' e p _
pils	_ p' I L s _
pilst	_ p' i l s t _
pilstalio	_ p' i l s t a l' oo _
pilstelë	_ p' i l' s' t' e l' ee _
pilstinë	_ p' i l' s' t' i n' ee _
pilv	_ p' i l v _
pilvin	_ p' i l' v' i n _
pimpin	_ p' i m' p' i n _
pimpinë	_ p' I M' p' i n' ee _
pimps	_ p' i m p s _
pincir	_ p' i n' ts' i r _
piniga	_ p' i n' i g a _
pinklio	_ p' i n' k' l' oo _
pino	_ p' I n oo _
pinð	_ p' i n S _
pipir	_ p' i p' i r _
pips	_ p' i p s _
pirata	_ p' i r a t a _
pirg	_ p' i r k _
pirk	_ p' I R k _
pirkdin	_ p' i r' g' d' i n _
pirkinë	_ p' I R' k' i n' ee _
pirkio	_ p' i r' k' oo _
pirklia	_ p' i r' k' l' e _
pirm	_ p' i r m _
pirma	_ p' i r m A _
pirmai	_ p' i r m a j _
pirmiau	_ p' i r' m' E W _
pirmininka	_ p' i r' m' i n' i n k a _
pirmukart	_ p' I r m u k a r t _
pirmusyk	_ p' I r m u s' ii k _
pirmyn	_ p' i r' m' iI n _
pirmàkart	_ p' I r m aa k a r t _
pirmàsyk	_ p' I r m aa s' ii k _
pirp	_ p' i r p _
pirðlia	_ p' i r' S' l' e _
pisisim	_ p' i s' i s' i m _
pisnirp	_ p' i s' n' i r p _
pit	_ p' i t _
pitehcra	_ p' i t' e h ts r a _
pitoerets	_ p' i t oo e r' e t s _
pitoib	_ p' i t oo j p _
pitoidi	_ p' i t oo j d' i _
pitoirak	_ p' i t oo j r a k _
pitoke	_ p' i t oo k' e _
pitomzalp	_ p' i t oo m z a l p _
pitonef	_ p' i t oo n' e f _
pitoneg	_ p' i t oo n' e k _
pitonil	_ p' i t oo n' i l _
pitonom	_ p' i t oo n oo m _
pitop	_ p' i t oo p _
pitoregad	_ p' i t oo r' e g a t _
pitotarts	_ p' i t oo t a r t s _
pitotorp	_ p' i t oo t oo r p _
piup	_ p' u p _
piurë	_ p' u r' eE _
piþd	_ p' i S t _
pjaust	_ p' j' e w s t _
pjaustinë	_ p' j' e w s' t' i n' ee _
pjov	_ p' j' oo v _
pjovë	_ p' j' Oo v' ee _
pjud	_ p' j' u t _
pjûkl	_ p' j' uu k l _
pla	_ p l a _
plagij	_ p l a g' i j' _
plagisuget	_ p l a g' i s u g' e t _
plaikst	_ p l a j k s t _
plaiðin	_ p l a j S' i n _
plaiðio	_ p l a j S' oo _
plak	_ p l A k _
plakdin	_ p l a g' d' i n _
plakir	_ p l a k' i r _
plaks	_ p l A k s _
plaktelë	_ p l a k' t' e l' ee _
plampin	_ p l a m' p' i n _
plamps	_ p l a m p s _
plan	_ p l a n _
planir	_ p l a n' i r _
plaoun	_ p l a oo w n _
plas	_ p l A s _
plasno	_ p l a s n oo _
plast	_ p l A s t _
plastelë	_ p l a s' t' e l' ee _
plasten	_ p l a s' t' e n _
plastik	_ p l a s' t' i k _
plat	_ p l a t _
platap	_ p l a t a p _
platin	_ p l a t' i n _
platmuo	_ p l a t m uO _
plato	_ p l a t oo _
platyn	_ p l a t' iI n _
platë	_ p l a t' ee _
plau	_ p l a w _
plaujo	_ p l a w j' oo _
plauk	_ p l Aa w k _
plaukinë	_ p l a w k' I n' ee _
plaukio	_ p l a w k' oo _
plaukmuo	_ p l a w k m uO _
plaukë	_ p l A W k' ee _
plauðo	_ p l A W S oo _
plazd	_ p l a s t _
plazden	_ p l a z' d' e n _
plazdin	_ p l a z' d' i n _
plað	_ p l a S _
plaðap	_ p l a S a p _
plaðivas	_ p l a S' i v a s _
plaþ	_ p l a S _
pleik	_ p' l' E J k _
plein	_ p' l' e j n _
pleinë	_ p' l' e j n' ee _
pleiskano	_ p' l' e j s k a n oo _
pleið	_ p' l' e j S _
pleiðt	_ p' l' e j S t _
pleiðë	_ p' l' e j S' ee _
plek	_ p' l' e k _
plekð	_ p' l' e k S _
plekðen	_ p' l' e k' S' e n _
plekðno	_ p' l' e k S n oo _
plekðt	_ p' l' E k S t _
plekðtelë	_ p' l' e k' S' t' e l' ee _
plemp	_ p' l' e m p _
plemps	_ p' l' E M p s _
plep	_ p' l' e p _
plept	_ p' l' E p t _
pleptelë	_ p' l' e p' t' e l' ee _
pler	_ p' l' e r _
plerin	_ p' l' e r' i n _
plerp	_ p' l' e r p _
plerpin	_ p' l' e r' p' i n _
plerps	_ p' l' E R p s _
plev	_ p' l' e v _
pleven	_ p' l' e v' e n _
plevinë	_ p' l' e v' i n' ee _
plevës	_ p' l' e v' ee s _
plezd	_ p' l' e s t _
plezden	_ p' l' e z' d' e n _
pleðk	_ p' l' e S k _
pleðken	_ p' l' e S' k' e n _
pleðkin	_ p' l' e S' k' i n _
pleþ	_ p' l' e S _
pleþin	_ p' l' e Z' i n _
pli	_ p' l' i _
pliau	_ p' l' e w _
pliaukð	_ p' l' E W k S _
pliaukðno	_ p' l' e w k S n oo _
pliaukðt	_ p' l' Ea w k S t _
pliaukðtelë	_ p' l' e w k' S' t' e l' ee _
pliaukðèio	_ p' l' e w k' S' tS' oo _
pliaun	_ p' l' e w n _
pliaup	_ p' l' e w p _
pliauz	_ p' l' e w s _
pliauðk	_ p' l' e w S k _
pliauðken	_ p' l' e w S' k' e n _
pliauðkin	_ p' l' e w S' k' i n _
pliauðko	_ p' l' e w S k oo _
plie	_ p' l' ie _
pliek	_ p' l' Ie k _
plik	_ p' l' I k _
plikalua	_ p' l' i k a l u a _
plikanlab	_ p' l' i k a n l a p _
plikin	_ p' l' i k' i n _
plikinë	_ p' l' i k' i n' ee _
pliktelë	_ p' l' i k' t' e l' ee _
plikë	_ p' l' I k' ee _
pliop	_ p' l' oo p _
pliovo	_ p' l' oo v oo _
plis	_ p' l' I s _
plisk	_ p' l' I s k _
pliskin	_ p' l' i s' k' i n _
plisë	_ p' l' i s' eE _
pliu	_ p' l' u _
pliukð	_ p' l' U k S _
pliukðt	_ p' l' U k S t _
pliukðtelë	_ p' l' u k' S' t' e l' ee _
pliump	_ p' l' u m p _
pliumpin	_ p' l' u m' p' i n _
pliumpinë	_ p' l' U M' p' i n' ee _
pliumps	_ p' l' U M p s _
pliumpt	_ p' l' U m p t _
pliumptelë	_ p' l' u m' p' t' e l' ee _
pliumpèio	_ p' l' u m' p' tS' oo _
